1.232,0.000,8.140,0.000,0.538,6.142,91.700,3.977,4.000,307.000,21.000,396.900,18.720,15.200
0.022,82.500,2.030,0.000,0.415,7.610,15.700,6.270,2.000,348.000,14.700,395.380,3.110,42.300
4.898,0.000,18.100,0.000,0.631,4.970,100.000,1.333,24.000,666.000,20.200,375.520,3.260,50.000
0.040,0.000,5.190,0.000,0.515,6.037,34.500,5.985,5.000,224.000,20.200,396.900,8.010,21.100
3.693,0.000,18.100,0.000,0.713,6.376,88.400,2.567,24.000,666.000,20.200,391.430,14.650,17.700
0.284,0.000,7.380,0.000,0.493,5.708,74.300,4.721,5.000,287.000,19.600,391.130,11.740,18.500
9.187,0.000,18.100,0.000,0.700,5.536,100.000,1.580,24.000,666.000,20.200,396.900,23.600,11.300
4.097,0.000,19.580,0.000,0.871,5.468,100.000,1.412,5.000,403.000,14.700,396.900,26.420,15.600
2.155,0.000,19.580,0.000,0.871,5.628,100.000,1.517,5.000,403.000,14.700,169.270,16.650,15.600
1.629,0.000,21.890,0.000,0.624,5.019,100.000,1.439,4.000,437.000,21.200,396.900,34.410,14.400
9.596,0.000,18.100,0.000,0.693,6.404,100.000,1.639,24.000,666.000,20.200,376.110,20.310,12.100
18.811,0.000,18.100,0.000,0.597,4.628,100.000,1.554,24.000,666.000,20.200,28.790,34.370,17.900
0.139,0.000,4.050,0.000,0.510,5.572,88.500,2.596,5.000,296.000,16.600,396.900,14.690,23.100
3.837,0.000,18.100,0.000,0.770,6.251,91.100,2.296,24.000,666.000,20.200,350.650,14.190,19.900
0.387,0.000,25.650,0.000,0.581,5.613,95.600,1.757,2.000,188.000,19.100,359.290,27.260,15.700
73.534,0.000,18.100,0.000,0.679,5.957,100.000,1.803,24.000,666.000,20.200,16.450,20.620,8.800
6.539,0.000,18.100,1.000,0.631,7.016,97.500,1.202,24.000,666.000,20.200,392.050,2.960,50.000
0.065,70.000,2.240,0.000,0.400,6.345,20.100,7.828,5.000,358.000,14.800,368.240,4.970,22.500
0.034,82.500,2.030,0.000,0.415,6.162,38.400,6.270,2.000,348.000,14.700,393.770,7.430,24.100
0.149,0.000,8.560,0.000,0.520,6.727,79.900,2.778,5.000,384.000,20.900,394.760,9.420,27.500
37.662,0.000,18.100,0.000,0.679,6.202,78.700,1.863,24.000,666.000,20.200,18.820,14.520,10.900
0.028,75.000,2.950,0.000,0.428,6.595,21.800,5.401,3.000,252.000,18.300,395.630,4.320,30.800
0.018,95.000,1.470,0.000,0.403,7.135,13.900,7.653,3.000,402.000,17.000,384.300,4.450,32.900
0.006,18.000,2.310,0.000,0.538,6.575,65.200,4.090,1.000,296.000,15.300,396.900,4.980,24.000
0.030,0.000,5.190,0.000,0.515,5.895,59.600,5.615,5.000,224.000,20.200,394.810,10.560,18.500
9.823,0.000,18.100,0.000,0.671,6.794,98.800,1.358,24.000,666.000,20.200,396.900,21.240,13.300
0.088,12.500,7.870,0.000,0.524,6.012,66.600,5.561,5.000,311.000,15.200,395.600,12.430,22.900
0.027,0.000,7.070,0.000,0.469,7.185,61.100,4.967,2.000,242.000,17.800,392.830,4.030,34.700
0.672,0.000,8.140,0.000,0.538,5.813,90.300,4.682,4.000,307.000,21.000,376.880,14.810,16.600
0.178,0.000,9.690,0.000,0.585,5.569,73.500,2.400,6.000,391.000,19.200,395.770,15.100,17.500
0.046,52.500,5.320,0.000,0.405,6.315,45.600,7.317,6.000,293.000,16.600,396.900,7.600,22.300
5.090,0.000,18.100,0.000,0.713,6.297,91.800,2.368,24.000,666.000,20.200,385.090,17.270,16.100
7.752,0.000,18.100,0.000,0.713,6.301,83.700,2.783,24.000,666.000,20.200,272.210,16.230,14.900
1.054,0.000,8.140,0.000,0.538,5.935,29.300,4.499,4.000,307.000,21.000,386.850,6.580,23.100
0.034,75.000,2.950,0.000,0.428,7.024,15.800,5.401,3.000,252.000,18.300,395.620,1.980,34.900
0.341,0.000,7.380,0.000,0.493,6.415,40.100,4.721,5.000,287.000,19.600,396.900,6.120,25.000
0.841,0.000,8.140,0.000,0.538,5.599,85.700,4.455,4.000,307.000,21.000,303.420,16.510,13.900
1.152,0.000,8.140,0.000,0.538,5.701,95.000,3.787,4.000,307.000,21.000,358.770,18.350,13.100
0.351,0.000,7.380,0.000,0.493,6.041,49.900,4.721,5.000,287.000,19.600,396.900,7.700,20.400
0.102,0.000,12.830,0.000,0.437,6.279,74.500,4.052,5.000,398.000,18.700,373.660,11.970,20.000
0.151,0.000,27.740,0.000,0.609,5.454,92.700,1.821,4.000,711.000,20.100,395.090,18.060,15.200
0.159,0.000,6.910,0.000,0.448,6.211,6.500,5.721,3.000,233.000,17.900,394.460,7.440,24.700
0.051,0.000,5.190,0.000,0.515,6.316,38.100,6.458,5.000,224.000,20.200,389.710,5.680,22.200
11.087,0.000,18.100,0.000,0.718,6.411,100.000,1.859,24.000,666.000,20.200,318.750,15.020,16.700
13.360,0.000,18.100,0.000,0.693,5.887,94.700,1.782,24.000,666.000,20.200,396.900,16.350,12.700
0.750,0.000,8.140,0.000,0.538,5.924,94.100,4.400,4.000,307.000,21.000,394.330,16.300,15.600
0.330,0.000,21.890,0.000,0.624,5.822,95.400,2.470,4.000,437.000,21.200,388.690,15.030,18.400
1.002,0.000,8.140,0.000,0.538,6.674,87.300,4.239,4.000,307.000,21.000,380.230,11.980,21.000
0.657,20.000,3.970,0.000,0.647,6.842,100.000,2.011,5.000,264.000,13.000,391.930,6.900,30.100
6.962,0.000,18.100,0.000,0.700,5.713,97.000,1.927,24.000,666.000,20.200,394.430,17.110,15.100
0.062,0.000,5.190,0.000,0.515,5.968,58.500,4.812,5.000,224.000,20.200,396.900,9.290,18.700
14.421,0.000,18.100,0.000,0.740,6.461,93.300,2.003,24.000,666.000,20.200,27.490,18.050,9.600
0.512,0.000,6.200,0.000,0.507,7.358,71.600,4.148,8.000,307.000,17.400,390.070,4.730,31.500
